geneID	UnTrt_1	UnTrt_2	UnTrt_3	EtOH6H_1	EtOH6H_2	EtOH6H_3	ET24H_1	ET24H_2	ET24H_3
ENSMUSG00000000001	2295	2730	2159	2573	2920	3452	3635	3435	3222
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	181	203	176	198	198	238	188	217	222
ENSMUSG00000000031	64250	67736	65608	127746	133437	159080	170426	183727	191350
ENSMUSG00000000037	0	0	4	0	0	5	2	1	0
ENSMUSG00000000049	4	4	5	1	5	5	3	4	3
ENSMUSG00000000056	1409	1356	1417	1294	1468	1579	1707	1727	1762
ENSMUSG00000000058	459	698	433	285	329	365	331	299	300
ENSMUSG00000000078	2156	2933	2348	3269	3605	4228	3725	3745	3766
ENSMUSG00000000085	638	687	680	560	593	728	685	643	668
ENSMUSG00000000088	399	407	365	377	370	621	488	587	555
ENSMUSG00000000093	11	16	16	4	5	6	1	3	7
ENSMUSG00000000094	7	11	13	15	17	28	22	16	25
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	1	1	0	1	0	0
ENSMUSG00000000125	0	1	0	1	1	1	1	1	1
ENSMUSG00000000126	1355	1580	1422	644	675	772	959	1089	1099
ENSMUSG00000000127	871	1034	936	1015	1167	1517	1456	1431	1368
ENSMUSG00000000131	1074	1232	1029	1080	1176	1375	1182	1287	1252
ENSMUSG00000000134	996	1124	1044	976	1177	1403	1115	1157	1212
ENSMUSG00000000142	341	342	360	33	29	43	41	43	50
ENSMUSG00000000148	507	505	497	428	475	586	515	565	554
ENSMUSG00000000149	1259	1357	1300	1218	1280	1607	1279	1317	1404
ENSMUSG00000000154	12	10	10	3	5	8	8	5	3
ENSMUSG00000000157	0	1	1	1	9	9	7	10	6
ENSMUSG00000000159	2	8	9	52	58	54	51	58	49
ENSMUSG00000000167	16	24	15	25	19	39	32	35	26
ENSMUSG00000000168	1840	1825	1793	1468	1594	1809	1706	1699	1693
ENSMUSG00000000171	1514	1709	1424	1584	1706	2271	1905	1996	1869
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	2006	2102	1817	2133	2307	3111	2476	2528	2454
ENSMUSG00000000194	2100	2312	2078	2079	2165	2617	2494	2564	2535
ENSMUSG00000000197	27	42	55	8	14	13	10	15	13
ENSMUSG00000000202	55	51	50	70	117	123	92	98	121
ENSMUSG00000000204	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	9	4	10	44	46	47	52	60	69
ENSMUSG00000000216	0	0	0	0	2	0	0	0	0
ENSMUSG00000000223	727	788	774	1605	1743	2203	2076	2260	2169
ENSMUSG00000000244	209	172	167	324	391	388	439	473	545
ENSMUSG00000000247	15	16	11	3	5	2	6	1	4
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	193	206	194	250	254	317	208	246	249
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	368	417	309	402	527	561	442	498	446
ENSMUSG00000000275	439	532	489	836	859	1104	946	878	946
ENSMUSG00000000276	204	199	179	259	269	324	264	250	223
ENSMUSG00000000278	4737	3778	4126	2390	2642	3160	2752	2805	2737
ENSMUSG00000000282	898	835	814	801	836	1004	844	871	929
ENSMUSG00000000290	56	63	54	19	18	31	25	9	23
ENSMUSG00000000295	148	139	157	212	232	311	258	245	264
ENSMUSG00000000296	12	33	25	8	10	15	16	20	19
ENSMUSG00000000301	90	83	75	33	45	31	49	51	76
ENSMUSG00000000303	0	3	1	1	3	2	3	2	1
ENSMUSG00000000305	0	0	0	0	0	0	0	0	0
ENSMUSG00000000308	0	0	0	0	1	2	1	0	1
ENSMUSG00000000317	19	19	25	36	36	59	47	42	40
ENSMUSG00000000318	0	0	1	1	0	0	1	0	6
ENSMUSG00000000320	0	2	0	3	4	2	4	0	1
ENSMUSG00000000325	197	199	196	665	698	848	682	635	641
ENSMUSG00000000326	780	1011	838	942	1097	1306	1121	1197	1185
ENSMUSG00000000339	531	553	439	500	554	693	681	674	720
ENSMUSG00000000340	302	326	306	300	298	370	351	328	309
ENSMUSG00000000346	3476	3816	3251	3826	3942	4872	4572	4604	4384
ENSMUSG00000000355	418	389	344	273	333	383	317	333	351
ENSMUSG00000000359	328	538	363	434	484	603	483	537	530
ENSMUSG00000000365	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	1792	1642	1651	1816	2034	2503	2211	2253	2078
ENSMUSG00000000378	704	977	706	1018	1078	1272	1123	1344	1255
ENSMUSG00000000381	0	0	0	0	0	0	1	0	0
ENSMUSG00000000384	874	801	742	606	702	801	726	862	755
ENSMUSG00000000385	2	3	3	3	2	2	1	9	4
ENSMUSG00000000386	0	0	0	5	0	1	4	9	2
ENSMUSG00000000392	1	2	0	38	43	57	54	56	57
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	1583	1566	1466	1220	1329	1674	1691	1797	1658
ENSMUSG00000000402	0	0	0	0	0	0	0	1	0
ENSMUSG00000000409	2	2	4	7	7	16	10	4	8
ENSMUSG00000000411	0	2	0	0	1	1	0	1	1
ENSMUSG00000000416	0	0	0	0	0	0	0	2	0
ENSMUSG00000000420	2202	2023	2093	2436	2748	3005	2785	2718	2660
ENSMUSG00000000435	293	255	315	310	332	367	364	421	375
ENSMUSG00000000439	317	303	319	319	355	390	346	330	337
ENSMUSG00000000440	71	91	56	62	70	79	54	64	71
ENSMUSG00000000441	2012	1910	2042	1838	2054	2406	2160	2221	2330
ENSMUSG00000000486	9	3	4	3	9	12	8	6	9
ENSMUSG00000000489	162	296	150	236	268	260	312	326	347
ENSMUSG00000000530	2	2	1	11	12	12	11	8	16
ENSMUSG00000000531	223	213	238	270	315	360	311	317	309
ENSMUSG00000000532	122	123	162	225	250	336	264	254	262
ENSMUSG00000000538	1447	1761	1567	1726	1801	2198	2112	2159	2140
ENSMUSG00000000544	2	7	6	1	3	3	5	2	4
ENSMUSG00000000552	494	551	444	490	597	616	626	629	693
ENSMUSG00000000555	6451	9013	7053	5956	6633	7849	6968	7309	7673
ENSMUSG00000000560	0	0	0	0	2	0	0	0	0
ENSMUSG00000000561	845	817	675	902	929	1207	1288	1306	1168
ENSMUSG00000000562	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563	2766	3096	2633	3270	3468	4132	4072	4043	3763
ENSMUSG00000000567	560	515	570	1474	1732	1915	1613	1665	1875
ENSMUSG00000000568	1001	916	926	790	874	1067	1257	1185	1275
ENSMUSG00000000579	123	122	103	150	153	170	173	185	148
ENSMUSG00000000581	475	491	481	357	393	499	573	496	465
ENSMUSG00000000594	275	273	311	168	165	183	148	162	157
ENSMUSG00000000600	675	669	668	476	575	679	693	703	605
ENSMUSG00000000605	1217	1416	1250	1572	1760	2074	1933	1931	1806
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	30	35	52	64	78	79	76	75	75
ENSMUSG00000000628	1435	1641	1465	1598	1704	2343	1983	2114	2232
ENSMUSG00000000631	5644	5295	5684	7174	7738	9609	8388	8654	9048
ENSMUSG00000000632	0	0	1	0	0	0	0	0	0
ENSMUSG00000000673	0	1	0	0	0	2	0	0	0
ENSMUSG00000000682	0	0	0	0	0	0	0	0	1
ENSMUSG00000000686	9	9	17	3	2	6	4	1	6
ENSMUSG00000000690	2	4	2	9	8	9	8	8	4
ENSMUSG00000000693	1224	2070	1311	1773	2002	2328	2085	2312	2241
ENSMUSG00000000701	0	0	0	0	0	0	0	2	0
ENSMUSG00000000706	0	0	1	0	0	0	0	0	1
ENSMUSG00000000708	1254	1371	1344	833	840	966	1031	1017	991
ENSMUSG00000000711	3393	3320	3271	4047	4458	5122	4683	4491	4777
ENSMUSG00000000724	0	0	1	0	0	0	0	0	0
ENSMUSG00000000730	0	0	1	0	0	0	0	0	0
ENSMUSG00000000731	0	0	0	0	0	0	0	1	0
ENSMUSG00000000732	1	0	0	0	0	0	0	0	0
ENSMUSG00000000738	1224	1370	1190	1071	1210	1427	1476	1558	1588
ENSMUSG00000000739	0	0	0	1	0	1	0	1	0
ENSMUSG00000000740	10295	13018	10397	14978	16424	20411	17366	19440	18135
ENSMUSG00000000743	1930	1964	1872	2021	2191	2663	2276	2460	2435
ENSMUSG00000000751	1552	1481	1531	1070	1134	1322	1229	1292	1224
ENSMUSG00000000753	14017	12802	13281	4915	5507	6422	5922	6308	6175
ENSMUSG00000000759	664	654	670	489	578	610	636	666	587
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0
ENSMUSG00000000776	562	721	565	652	713	908	884	941	882
ENSMUSG00000000782	393	390	400	397	434	471	431	392	456
ENSMUSG00000000787	10135	9667	9650	6117	6502	8041	8372	7999	7915
ENSMUSG00000000791	66	95	62	90	88	89	114	80	79
ENSMUSG00000000792	30	52	32	32	51	64	35	40	49
ENSMUSG00000000794	111	133	110	1566	1754	2163	1490	1400	1535
ENSMUSG00000000804	1115	1084	1013	1123	1280	1436	1432	1309	1241
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0
ENSMUSG00000000811	205	256	213	333	293	394	357	343	346
ENSMUSG00000000817	0	0	0	0	0	0	0	0	1
ENSMUSG00000000823	704	636	673	481	537	696	616	640	635
ENSMUSG00000000826	3459	3511	3359	3242	3616	4254	4000	4054	4049
ENSMUSG00000000827	1706	1716	1624	1687	1843	2229	1984	2070	2053
ENSMUSG00000000838	1020	1270	934	1206	1411	1669	1686	1609	1586
ENSMUSG00000000861	0	0	0	0	0	0	0	0	0
ENSMUSG00000000869	29	22	26	44	40	49	51	39	31
ENSMUSG00000000876	337	419	336	313	347	453	392	390	340
ENSMUSG00000000881	423	497	397	412	469	569	501	425	478
ENSMUSG00000000884	80	73	100	55	58	72	54	71	58
ENSMUSG00000000889	4	8	11	30	28	36	35	29	28
ENSMUSG00000000901	1264	1629	1342	1296	1511	1784	1481	1532	1540
ENSMUSG00000000902	1318	1454	1320	1249	1325	1684	1649	1635	1577
